Team Name,Year,Total Home Attendance
Minnesota Twins,1977,1162727
Montreal Expos,1977,1437190
New York Mets,1977,1062782
New York Yankees,1977,2316023
Oakland Athletics,1977,504765
Philadelphia Phillies,1977,2699750
Pittsburgh Pirates,1977,1237359
San Diego Padres,1977,1375269
San Francisco Giants,1977,696654
Seattle Mariners,1977,1350601
St. Louis Cardinals,1977,1658282
Texas Rangers,1977,1274962
Toronto Blue Jays,1977,1794651
California Angels,1977,1435133
Atlanta Braves,1978,875902
Baltimore Orioles,1978,1033755
Boston Red Sox,1978,2320210
Chicago Cubs,1978,1495983
Chicago White Sox,1978,1491100
Cincinnati Reds,1978,2532497
Cleveland Indians,1978,807123
Detroit Tigers,1978,1714843
Houston Astros,1978,1128233
Kansas City Royals,1978,2255493
Los Angeles Dodgers,1978,3347803
Milwaukee Brewers,1978,1581834
Minnesota Twins,1978,787880
Montreal Expos,1978,1427181
New York Mets,1978,1007867
New York Yankees,1978,2424399
Oakland Athletics,1978,527017
Philadelphia Phillies,1978,2582409
Pittsburgh Pirates,1978,964106
San Diego Padres,1978,1669349
San Francisco Giants,1978,1738855
Seattle Mariners,1978,866906
St. Louis Cardinals,1978,1278221
Texas Rangers,1978,1447963
Toronto Blue Jays,1978,1562509
California Angels,1978,1755386
Atlanta Braves,1979,768737
Baltimore Orioles,1979,1680427
Boston Red Sox,1979,2353125
Chicago Cubs,1979,1656343
Chicago White Sox,1979,1280702
Cincinnati Reds,1979,2356933
Cleveland Indians,1979,1011744
Detroit Tigers,1979,1630939
Houston Astros,1979,1915449
Kansas City Royals,1979,2261845
Los Angeles Dodgers,1979,2860954
Milwaukee Brewers,1979,1918893
Minnesota Twins,1979,1070621
Montreal Expos,1979,2102153
New York Mets,1979,788764
New York Yankees,1979,2543848
Oakland Athletics,1979,306763
Philadelphia Phillies,1979,2774849
Pittsburgh Pirates,1979,1435427
San Diego Padres,1979,1457147
San Francisco Giants,1979,1483812
Seattle Mariners,1979,844450
St. Louis Cardinals,1979,1628406
Texas Rangers,1979,1519672
Toronto Blue Jays,1979,1431659
California Angels,1979,2523575
Atlanta Braves,1980,1048352
Baltimore Orioles,1980,1805020
Boston Red Sox,1980,1956110
Chicago Cubs,1980,1204582
Chicago White Sox,1980,1212873
Cincinnati Reds,1980,2031596
Cleveland Indians,1980,1036352
Detroit Tigers,1980,1785360
Houston Astros,1980,2308092
Kansas City Royals,1980,2290056
Los Angeles Dodgers,1980,3248887
Milwaukee Brewers,1980,1865583
Minnesota Twins,1980,769206
Montreal Expos,1980,2185122
New York Mets,1980,1178738
New York Yankees,1980,2627417
Oakland Athletics,1980,842319
Philadelphia Phillies,1980,2658957
Pittsburgh Pirates,1980,1641757
San Diego Padres,1980,1152438
San Francisco Giants,1980,1098130
Seattle Mariners,1980,837886
St. Louis Cardinals,1980,1399755
Texas Rangers,1980,1198165
Toronto Blue Jays,1980,1400327
California Angels,1980,2297327
Atlanta Braves,1981,534107
Baltimore Orioles,1981,1024831
Boston Red Sox,1981,1060659
Chicago Cubs,1981,565615
Chicago White Sox,1981,944701
Cincinnati Reds,1981,1111107
Cleveland Indians,1981,662417
Detroit Tigers,1981,1149744
Houston Astros,1981,1321222
Kansas City Royals,1981,1279440
Los Angeles Dodgers,1981,2382579
Milwaukee Brewers,1981,878482
Minnesota Twins,1981,469090
Montreal Expos,1981,1534663
New York Mets,1981,701910
New York Yankees,1981,1614482
Oakland Athletics,1981,1298105
Philadelphia Phillies,1981,1638914
Pittsburgh Pirates,1981,549369
San Diego Padres,1981,559711
San Francisco Giants,1981,632274
Seattle Mariners,1981,636276
St. Louis Cardinals,1981,1010247
Texas Rangers,1981,853032
Toronto Blue Jays,1981,755083
