Team Name,Home Runs,Year
Chicago White Sox,73,1976
Cincinnati Reds,141,1976
Cleveland Indians,85,1976
Detroit Tigers,101,1976
Houston Astros,66,1976
Kansas City Royals,65,1976
Los Angeles Dodgers,91,1976
Milwaukee Brewers,88,1976
Minnesota Twins,81,1976
Montreal Expos,94,1976
New York Mets,102,1976
New York Yankees,120,1976
Oakland Athletics,113,1976
Philadelphia Phillies,110,1976
Pittsburgh Pirates,110,1976
San Diego Padres,64,1976
San Francisco Giants,85,1976
St. Louis Cardinals,63,1976
Texas Rangers,80,1976
Atlanta Braves,139,1977
Baltimore Orioles,148,1977
Boston Red Sox,213,1977
California Angels,131,1977
Chicago Cubs,111,1977
Chicago White Sox,192,1977
Cincinnati Reds,181,1977
Cleveland Indians,100,1977
Detroit Tigers,166,1977
Houston Astros,114,1977
Kansas City Royals,146,1977
Los Angeles Dodgers,191,1977
Milwaukee Brewers,125,1977
Minnesota Twins,123,1977
Montreal Expos,138,1977
New York Mets,88,1977
New York Yankees,184,1977
Oakland Athletics,117,1977
Philadelphia Phillies,186,1977
Pittsburgh Pirates,133,1977
San Diego Padres,120,1977
Seattle Mariners,133,1977
San Francisco Giants,134,1977
St. Louis Cardinals,96,1977
Texas Rangers,135,1977
Toronto Blue Jays,100,1977
Atlanta Braves,123,1978
Baltimore Orioles,154,1978
Boston Red Sox,172,1978
California Angels,108,1978
Chicago Cubs,72,1978
Chicago White Sox,106,1978
Cincinnati Reds,136,1978
Cleveland Indians,106,1978
Detroit Tigers,129,1978
Houston Astros,70,1978
Kansas City Royals,98,1978
Los Angeles Dodgers,149,1978
Milwaukee Brewers,173,1978
Minnesota Twins,82,1978
Montreal Expos,121,1978
New York Mets,86,1978
New York Yankees,125,1978
Oakland Athletics,100,1978
Philadelphia Phillies,133,1978
Pittsburgh Pirates,115,1978
San Diego Padres,75,1978
Seattle Mariners,97,1978
San Francisco Giants,117,1978
St. Louis Cardinals,79,1978
Texas Rangers,132,1978
Toronto Blue Jays,98,1978
Atlanta Braves,126,1979
Baltimore Orioles,181,1979
Boston Red Sox,194,1979
California Angels,164,1979
Chicago Cubs,135,1979
Chicago White Sox,127,1979
Cincinnati Reds,132,1979
Cleveland Indians,138,1979
Detroit Tigers,164,1979
Houston Astros,49,1979
Kansas City Royals,116,1979
Los Angeles Dodgers,183,1979
Milwaukee Brewers,185,1979
Minnesota Twins,112,1979
Montreal Expos,143,1979
New York Mets,74,1979
New York Yankees,150,1979
Oakland Athletics,108,1979
Philadelphia Phillies,119,1979
Pittsburgh Pirates,148,1979
San Diego Padres,93,1979
Seattle Mariners,132,1979
San Francisco Giants,125,1979
St. Louis Cardinals,100,1979
Texas Rangers,140,1979
Toronto Blue Jays,95,1979
Atlanta Braves,144,1980
Baltimore Orioles,156,1980
Boston Red Sox,162,1980
California Angels,106,1980
Chicago Cubs,107,1980
Chicago White Sox,91,1980
Cincinnati Reds,113,1980
Cleveland Indians,89,1980
